Fund Name,Country,Region,aum $bn,aum_date,type,quintile,inception,latitude,longitude,"Leader, Finalist, Other",Disclosure 1A - Organization,Disclosure 1B - Financials,Intention 2A - RI Statement,Intention 2B - Downloadable Report,Clarity 3A - Objectives for RI,Clarity 3B - Strategies for RI,Integration 4A -Integrating ESG,Integration 4B -Methodology,Implementation 5A - Examples of RI,Implementation 5B - Measuring RI,"Commitment 6A - Staff, Resources",Commitment 6B - Socializing RI,Accountability 7A - Financial Returns,Accountability 7B - ESG Returns,Partnership 8A - RI Partners,Partnership 8B - RI Leadership,Standards 9A -Uniform Standards,Standards 9B - External Managers,Development 10A - Referencing SDGs,Development 10B - Frontier Markets
Kumpulan Wang Persaraan,Malaysia,Asia,34,2018,GPF,2,2007,3.148139,101.714438,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Kuwait Investment Authority,Kuwait,MENA,524,2017,SWF,3,1953,29.3833,47.983894,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail
LGPS Access,UK,Europe,55,2018,GPF,4,2016,52.059311,1.15567,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail
LGPS Border to Coast Pensions Partnership (BCPP),UK,Europe,60,2018,GPF,3,2017,53.7967,-1.5474,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
LGPS Brunel Pension Partnership,UK,Europe,37,2018,GPF,1,2017,51.49696,-0.13453,Finalist,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
LGPS Central Pool,UK,Europe,52,2018,GPF,2,2017,53.14324,-1.5534,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail
LGPS Dyfed Pension Fund (DPF),UK,Europe,32,2018,GPF,4,2014,51.86178,-4.30234,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
LGPS Local Pensions Partnership (LPP),UK,Europe,21,2018,GPF,2,2016,53.757609,-2.704393,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
LGPS London Collective Investment Vehicle (LCIV),UK,Europe,45,2018,GPF,2,2017,51.507351,-0.127758,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
LGPS Strathclyde Pension Fund,UK,Europe,26,2018,GPF,1,1972,55.860867,-4.247692,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
Los Angeles City Employees' Retirement System,USA,North America,16,2017,GPF,5,1937,34.051933,-118.24572,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Los Angeles Fire & Police,USA,North America,20,2017,GPF,4,1899,34.04568,-118.23789,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Magistrenes Pensionskasse (MP Pension),Denmark,Europe,16,2016,GPF,2,1960,55.75476,12.539564,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Maine Public Employees Retirement System,USA,North America,14,2017,GPF,4,1942,44.309161,-69.788016,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Maryland State Retirement,USA,North America,49,2017,GPF,2,1941,39.28975,-76.61243,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail
Massachusetts Pension Reserves Investment Management Board,USA,North America,72,2017,GPF,4,1983,42.359146,-71.055645,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Merseyside Pension Fund,UK,Europe,11,2018,GPF,2,1974,53.405553,-2.990285,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail
Michigan Municipal Employees' Retirement System,USA,North America,12,2017,GPF,4,1945,42.721163,-84.649474,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Pass
Michigan Public School Employees Retirement System,USA,North America,52,2017,GPF,4,1942,42.721163,-84.649474,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Michigan State Employees Retirement System,USA,North America,16,2017,GPF,4,1942,42.721163,-84.649474,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Minnesota State Board of Investment,USA,North America,90,2017,GPF,3,1981,44.961301,-93.101862,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Mississippi Employees Retirement System (PERS of MS),USA,North America,27,2017,GPF,5,1952,32.30245,-90.181556,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Missouri Schools & Education (PERS/PEERS),USA,North America,43,2018,GPF,4,1945,38.594144,-92.237563,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass
Mubadala Development Company,UAE (Abu Dhabi),MENA,128,2017,SWF,2,2002,24.44883,54.370987,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
National Development Fund of Iran,Iran,MENA,68,2018,SWF,4,2011,35.752337,51.412469,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
National Federation of Mutual Aid Associations for Municipal Emplyees (Shichousonren),Japan,Asia,94,2016,GPF,3,1962,35.687206,139.749888,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass
National Investment Infrastructure Fund,India,Asia,5,2018,SWF,3,2015,18.9387544,72.8352382,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
National Pension and Provident Fund,Bhutan,Asia,No info,No info,GPF,3,1978,27.475387,89.637953,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail
National Pension Service,South Korea,Asia,522,2017,GPF,2,1988,37.566536,126.977966,Finalist,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass
National Railroad Retirement Investment Trust,USA,North America,27,2017,GPF,5,2002,41.897972,-87.626633,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass
National Social Security Fund,China,Asia,295,2017,GPF,5,2000,39.904202,116.407394,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail
Nebraska Investment Council,USA,North America,27,2017,GPF,5,1969,40.8095349,-96.6989614,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Nevada Public Employees Retirement System (NVPERS),USA,North America,38,2017,GPF,4,1947,39.163799,-119.7674,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
New Jersey PERS,USA,North America,76,2017,GPF,4,1954,40.22052,-74.7673093,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
New Mexico Public Employees Retirement Association (PERA),USA,North America,16,2017,GPF,4,1947,35.108021,-106.568748,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
New Mexico State Investment Council Permanent Fund,USA,North America,24,2018,SWF,4,1958,35.608803,-106.03971,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
New York State Common Retirement Fund,USA,North America,209,2017,GPF,1,1983,40.749625,-73.97467,Finalist,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
New Zealand Superannuation Fund,New Zealand,Oceania,30,2018,SWF,1,2003,-36.844138,174.766562,Leader's List,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail
Nigeria Sovereign Investment Authority,Nigeria,Africa,1,2018,SWF,3,2011,9.082087,7.492817,Other Rated Fund,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
North Carolina Retirement System,USA,North America,98,2018,GPF,4,1941,35.8244315,-78.606046,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
North Dakota Legacy Fund (Trust Lands Permanent Fund),USA,North America,5,2018,SWF,5,2009,46.830207,-100.824884,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Ohio Police & Fire,USA,North America,16,2017,GPF,4,1965,39.9580623,-83.0069832,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Pass
Ohio Public Employees Retirement System (OPERS),USA,North America,100,2017,GPF,5,1935,39.957822,-83.007857,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Ohio State Teachers,USA,North America,78,2017,GPF,4,1919,39.9612616,-83.0078838,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Oklahoma Permanent Funds,USA,North America,2,2018,SWF,5,1906,35.492106,-97.503317,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Oklahoma Teachers' Retirement System (OTRS),USA,North America,15,2017,GPF,5,1943,35.5118518,-97.5033355,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Ontario Municipal Employees Retirement System (OMERS),Canada,North America,73,2017,GPF,2,1962,51.253777,-85.323212,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Ontario Teachers' Pension Plan,Canada,North America,151,2017,GPF,1,1990,48.439657,-123.378452,Leader's List,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
OPSEU Trust (OPTrust),Canada,North America,20,2018,GPF,2,1994,43.6428874,-79.3827034,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Oregon Public Employees Retirement Fund (OPERF),USA,North America,76,2017,GPF,2,1946,44.938245,-123.030563,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Fail,Fail
Oregon Public Employees Retirement System (Oregon PERS),USA,North America,93,2017,GPF,4,1946,45.438154,-122.745606,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Palestine Investment Fund,Palestinian Authority,MENA,1,2018,SWF,2,2003,31.916957,35.207072,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Pennsylvania Public School Employees Retirement System (PPSERS),USA,North America,50,2017,GPF,4,1917,40.2632281,-76.8787918,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail
Pennsylvania State Employees Retirement (PSERS),USA,North America,29,2017,GPF,5,1932,40.2613329,-76.8818323,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Pensioenfonds Metaal en Techniek (PMT),Netherlands,Europe,67,2015,GPF,2,Unknown,52.0793614,4.3348707,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass
Pension Fund Association for Local Government Officials,Japan,Asia,169,2018,GPF,2,1967,35.66976,139.73318,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
PensionDanmark,Denmark,Europe,32,2018,GPF,1,2002,55.700977,12.599999,Leader's List,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Pensionskasse Post (Swiss Post),Switzerland,Europe,15,2018,GPF,3,2001,46.9547523,7.4515314,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
PGGM,Netherlands,Europe,263,2017,GPF,1,1969,52.08205,5.23872,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail
PKA,Denmark,Europe,40,2017,GPF,2,1954,55.72758,12.579189,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
PME,Netherlands,Europe,47,2016,GPF,1,2014,52.0749456,4.2696802,Finalist,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail
PREVI,Brazil,Latin America,50,2018,GPF,1,1904,-22.950419,-43.180793,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Public Employee Retirement System of Idaho (PERSHI),USA,North America,18,2018,GPF,5,1965,43.619824,-116.19986,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Public Institute for Social Security,Kuwait,MENA,65,2017,GPF,5,1955,29.311661,47.481766,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Public Investment Corp.,South Africa,Africa,156,2017,GPF,1,2005,-25.747868,28.229271,Leader's List,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
Public Investment Fund,Saudi Arabia,MENA,250,2018,SWF,3,1971,21.389082,39.85791,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Public Sector Pension Investment Board,Canada,North America,122,2018,SWF,1,1999,45.50169,-73.567253,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Public Service Pension Fund,Taiwan,Asia,19,2017,GPF,5,1943,24.99042,121.571122,Other Rated Fund,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Qatar Investment Authority,Qatar,MENA,338,2017,SWF,3,2006,25.354826,51.183884,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
QIC,Australia,Oceania,82,2017,SWF,1,1991,-27.3330329,153.0225638,Finalist,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail
QSuper,Australia,Oceania,49,2017,GPF,1,1912,-33.8677276,151.2041196,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Retail Employees Superannuation Trust (REST),Australia,Oceania,31,2017,GPF,3,1988,-31.253218,146.921097,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
RPMI Railpen,UK,Europe,38,2018,GPF,1,1965,51.507351,-0.127758,Leader's List,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Russian Direct Investment Fund,Russia,Eastern Europe,10,2017,SWF,2,2011,59.93848,30.312481,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
SAFE Investment Company,China,Asia,442,2017,SWF,5,1997,22.28588,114.158131,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass
SAMA Foreign Holdings,Saudi Arabia,MENA,516,2017,SWF,3,1950,24.713552,46.675297,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
South Carolina Public Employees Benefit Association (SCPEBA),USA,North America,30,2017,GPF,5,1945,34.058266,-80.994363,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail
South Dakota Investment Council,USA,North America,14,2017,GPF,5,1971,43.506985,-96.774911,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
State Fund for Guaranteeing Pension System,Bulgaria,Eastern Europe,2,2018,GPF,5,2008,42.733883,25.48583,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
State General Reserve Fund,Oman,MENA,20,2018,SWF,3,1980,23.616125,58.477528,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass
State of Wisconsin Investment Board,USA,North America,10,2017,GPF,4,1951,43.073051,-89.40123,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
State Oil Fund of the Republic of Azerbaijan,Azerbaijan,Asia,38,2017,SWF,3,1999,40.415027,49.901952,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass
State Universities Retirement System of Illinois,USA,North America,21,2017,GPF,3,1941,39.8013319,-89.7068503,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Sustainability Guarantee Fund,Argentina,Latin America,64,2015,SWF,4,1992,-34.559169,-58.536917,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Swiss Federal Pension Fund PUBLICA (Bundes Pensionskass),Switzerland,Europe,41,2017,GPF,2,2001,46.947975,7.447447,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Teachers' Pension Fund,South Korea,Asia,11,2017,GPF,3,1975,34.9419628,126.9999005,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass
Teachers' Retirement System of Louisiana (TRSL),USA,North America,21,2017,GPF,4,1936,30.542601,-92.51441,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Teachers' Retirement System of the State of Illinois,USA,North America,51,2018,GPF,5,1939,39.799358,-89.643623,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Pass
Temasek Holdings,Singapore,Asia,202,2017,Other,2,1974,1.352083,103.819839,Finalist,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Tennessee Consolidated Retirement System,USA,North America,47,2017,GPF,5,1972,36.162663,-86.781601,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Texas County and Distict Retirement System,USA,North America,29,2018,GPF,4,1967,30.279318,-97.736572,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Texas Employees Retirement System,USA,North America,29,2017,GPF,4,1947,30.271986,-97.732982,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Pass
Texas Municipal Retirement,USA,North America,28,2017,GPF,5,1947,30.2387,-97.8183,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Texas Permanent School Fund,USA,North America,41,2017,SWF,5,1854,30.279318,-97.736572,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Texas Permanent University Fund,USA,North America,37,2017,SWF,5,1876,30.271986,-97.732982,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
Texas Teachers Retirement Fund,USA,North America,145,2017,GPF,5,1937,30.283515,-97.73488,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
The City of New York Office of the Comptroller,USA,North America,203,2017,GPF,2,1920,40.749625,-73.97467,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
The Heritage and Stabilization Fund,Trinidad and Tobago,Latin America,6,2017,SWF,4,2000,10.656369,-61.513739,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
The Pula Fund,Botswana,Africa,6,2018,SWF,4,1993,-24.655078,25.911684,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Timor-Leste Petroleum Fund,Timor-Leste,Africa,18,2016,SWF,4,2005,-8.874217,125.727539,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
