Fund Name,Country,Region,aum $bn,aum_date,type,quintile,inception,latitude,longitude,"Leader, Finalist, Other",Disclosure 1A - Organization,Disclosure 1B - Financials,Intention 2A - RI Statement,Intention 2B - Downloadable Report,Clarity 3A - Objectives for RI,Clarity 3B - Strategies for RI,Integration 4A -Integrating ESG,Integration 4B -Methodology,Implementation 5A - Examples of RI,Implementation 5B - Measuring RI,"Commitment 6A - Staff, Resources",Commitment 6B - Socializing RI,Accountability 7A - Financial Returns,Accountability 7B - ESG Returns,Partnership 8A - RI Partners,Partnership 8B - RI Leadership,Standards 9A -Uniform Standards,Standards 9B - External Managers,Development 10A - Referencing SDGs,Development 10B - Frontier Markets
Caisse des Dépôts et Consignations,France,Europe,231,2017,SWF,1,1865,48.859088,2.328057,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
California Public Employees' Retirement System (CalPERS),USA,North America,326,2017,GPF,1,1932,38.574402,-121.50487,Leader's List,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
California State Teachers' Retirement System (CalSTERS),USA,North America,209,2017,GPF,1,1913,38.585208,-121.509343,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Canada Pension Plan Investment Board (CPPIB),Canada,North America,283,2018,GPF,1,1997,45.503126,-73.561366,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
CDP Equity SpA,Italy,Europe,4,2018,SWF,3,2011,45.465713,9.173153,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail
Central Provident Fund Board,Singapore,Asia,227,2017,GPF,5,1955,1.280186,103.845789,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
China Investment Corporation,China,Asia,814,2017,SWF,3,2007,22.28215,114.156883,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass
City and County of San Francisco Employees' Retirement System,USA,North America,22,2017,GPF,3,1921,37.775193,-122.41935,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Fail,Fail,Fail
City of Zurich,Switzerland,Europe,16,2017,GPF,2,1913,47.37155,8.52748,Other Rated Fund,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail
Colorado Public Employees' Retirement Association (Colorado PERA),USA,North America,47,2017,GPF,2,1931,39.737288,-104.981629,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Pass
